,PseudoTime
2013-01-02,0.0
2013-01-03,0.0003972983710766786
2013-01-04,0.0007945967421533572
2013-01-07,0.0011918951132300357
2013-01-08,0.0015891934843067143
2013-01-09,0.001986491855383393
2013-01-10,0.0023837902264600714
2013-01-11,0.0027810885975367503
2013-01-14,0.0031783869686134287
2013-01-15,0.003575685339690107
2013-01-16,0.003972983710766786
2013-01-17,0.004370282081843465
2013-01-18,0.004767580452920143
2013-01-22,0.005164878823996822
2013-01-23,0.0055621771950735005
2013-01-24,0.0059594755661501785
2013-01-25,0.006356773937226857
2013-01-28,0.006754072308303536
2013-01-29,0.007151370679380214
2013-01-30,0.007548669050456893
2013-01-31,0.007945967421533572
2013-02-01,0.00834326579261025
2013-02-04,0.00874056416368693
2013-02-05,0.009137862534763607
2013-02-06,0.009535160905840286
2013-02-07,0.009932459276916964
2013-02-08,0.010329757647993643
2013-02-11,0.010727056019070322
2013-02-12,0.011124354390147001
2013-02-13,0.011521652761223678
2013-02-14,0.011918951132300357
2013-02-15,0.012316249503377036
2013-02-19,0.012713547874453715
2013-02-20,0.013110846245530394
2013-02-21,0.013508144616607072
2013-02-22,0.013905442987683751
2013-02-25,0.014302741358760428
2013-02-26,0.014700039729837107
2013-02-27,0.015097338100913786
2013-02-28,0.015494636471990465
2013-03-01,0.015891934843067144
2013-03-04,0.01628923321414382
2013-03-05,0.0166865315852205
2013-03-06,0.01708382995629718
2013-03-07,0.01748112832737386
2013-03-08,0.017878426698450536
2013-03-11,0.018275725069527213
2013-03-12,0.018673023440603894
2013-03-13,0.01907032181168057
2013-03-14,0.019467620182757252
2013-03-15,0.01986491855383393
2013-03-18,0.02026221692491061
2013-03-19,0.020659515295987287
2013-03-20,0.021056813667063964
2013-03-21,0.021454112038140644
2013-03-22,0.02185141040921732
2013-03-25,0.022248708780294002
2013-03-26,0.02264600715137068
2013-03-27,0.023043305522447356
2013-03-28,0.023440603893524037
2013-04-01,0.023837902264600714
2013-04-02,0.024235200635677395
2013-04-03,0.02463249900675407
2013-04-04,0.025029797377830752
2013-04-05,0.02542709574890743
2013-04-08,0.025824394119984106
2013-04-09,0.026221692491060787
2013-04-10,0.026618990862137464
2013-04-11,0.027016289233214145
2013-04-12,0.027413587604290822
2013-04-15,0.027810885975367503
2013-04-16,0.02820818434644418
2013-04-17,0.028605482717520857
2013-04-18,0.029002781088597537
2013-04-19,0.029400079459674214
2013-04-22,0.029797377830750895
2013-04-23,0.030194676201827572
2013-04-24,0.030591974572904253
2013-04-25,0.03098927294398093
2013-04-26,0.03138657131505761
2013-04-29,0.03178386968613429
2013-04-30,0.03218116805721097
2013-05-01,0.03257846642828764
2013-05-02,0.03297576479936432
2013-05-03,0.033373063170441
2013-05-06,0.03377036154151768
2013-05-07,0.03416765991259436
2013-05-08,0.03456495828367104
2013-05-09,0.03496225665474772
2013-05-10,0.03535955502582439
2013-05-13,0.03575685339690107
2013-05-14,0.03615415176797775
2013-05-15,0.03655145013905443
2013-05-16,0.03694874851013111
2013-05-17,0.03734604688120779
2013-05-20,0.03774334525228447
2013-05-21,0.03814064362336114
2013-05-22,0.03853794199443782
2013-05-23,0.038935240365514504
2013-05-24,0.03933253873659118
2013-05-28,0.03972983710766786
2013-05-29,0.04012713547874454
2013-05-30,0.04052443384982122
2013-05-31,0.04092173222089789
2013-06-03,0.04131903059197457
2013-06-04,0.041716328963051254
2013-06-05,0.04211362733412793
2013-06-06,0.04251092570520461
2013-06-07,0.04290822407628129
2013-06-10,0.04330552244735797
2013-06-11,0.04370282081843464
2013-06-12,0.04410011918951132
2013-06-13,0.044497417560588004
2013-06-14,0.04489471593166468
2013-06-17,0.04529201430274136
2013-06-18,0.04568931267381804
2013-06-19,0.04608661104489471
2013-06-20,0.04648390941597139
2013-06-21,0.046881207787048074
2013-06-24,0.047278506158124754
2013-06-25,0.04767580452920143
2013-06-26,0.04807310290027811
2013-06-27,0.04847040127135479
2013-06-28,0.04886769964243146
2013-07-01,0.04926499801350814
2013-07-02,0.049662296384584824
2013-07-03,0.050059594755661505
2013-07-05,0.05045689312673818
2013-07-08,0.05085419149781486
2013-07-09,0.05125148986889154
2013-07-10,0.05164878823996821
2013-07-11,0.052046086611044894
2013-07-12,0.052443384982121574
2013-07-15,0.052840683353198255
2013-07-16,0.05323798172427493
2013-07-17,0.05363528009535161
2013-07-18,0.05403257846642829
2013-07-19,0.05442987683750496
2013-07-22,0.054827175208581644
2013-07-23,0.055224473579658324
2013-07-24,0.055621771950735005
2013-07-25,0.05601907032181168
2013-07-26,0.05641636869288836
2013-07-29,0.05681366706396504
2013-07-30,0.057210965435041714
2013-07-31,0.057608263806118394
2013-08-01,0.058005562177195075
2013-08-02,0.058402860548271755
2013-08-05,0.05880015891934843
2013-08-06,0.05919745729042511
2013-08-07,0.05959475566150179
2013-08-08,0.059992054032578464
2013-08-09,0.060389352403655144
2013-08-12,0.060786650774731825
2013-08-13,0.061183949145808506
2013-08-14,0.06158124751688518
2013-08-15,0.06197854588796186
2013-08-16,0.06237584425903854
2013-08-19,0.06277314263011521
2013-08-20,0.0631704410011919
2013-08-21,0.06356773937226858
2013-08-22,0.06396503774334525
2013-08-23,0.06436233611442194
2013-08-26,0.06475963448549861
2013-08-27,0.06515693285657528
2013-08-28,0.06555423122765197
2013-08-29,0.06595152959872864
2013-08-30,0.06634882796980532
2013-09-03,0.066746126340882
2013-09-04,0.06714342471195868
2013-09-05,0.06754072308303535
2013-09-06,0.06793802145411204
2013-09-09,0.06833531982518871
2013-09-10,0.0687326181962654
2013-09-11,0.06912991656734208
2013-09-12,0.06952721493841875
2013-09-13,0.06992451330949544
2013-09-16,0.07032181168057211
2013-09-17,0.07071911005164878
2013-09-18,0.07111640842272547
2013-09-19,0.07151370679380215
2013-09-20,0.07191100516487882
2013-09-23,0.0723083035359555
2013-09-24,0.07270560190703218
2013-09-25,0.07310290027810885
2013-09-26,0.07350019864918554
2013-09-27,0.07389749702026222
2013-09-30,0.07429479539133889
2013-10-01,0.07469209376241558
2013-10-02,0.07508939213349225
2013-10-03,0.07548669050456894
2013-10-04,0.07588398887564561
2013-10-07,0.07628128724672228
2013-10-08,0.07667858561779897
2013-10-09,0.07707588398887565
2013-10-10,0.07747318235995232
2013-10-11,0.07787048073102901
2013-10-14,0.07826777910210568
2013-10-15,0.07866507747318235
2013-10-16,0.07906237584425904
2013-10-17,0.07945967421533572
2013-10-18,0.07985697258641239
2013-10-21,0.08025427095748908
2013-10-22,0.08065156932856575
2013-10-23,0.08104886769964244
2013-10-24,0.08144616607071911
2013-10-25,0.08184346444179579
2013-10-28,0.08224076281287247
2013-10-29,0.08263806118394915
2013-10-30,0.08303535955502582
2013-10-31,0.08343265792610251
2013-11-01,0.08382995629717918
2013-11-04,0.08422725466825585
2013-11-05,0.08462455303933254
2013-11-06,0.08502185141040922
2013-11-07,0.08541914978148589
2013-11-08,0.08581644815256258
2013-11-11,0.08621374652363925
2013-11-12,0.08661104489471594
2013-11-13,0.08700834326579261
2013-11-14,0.08740564163686929
2013-11-15,0.08780294000794597
2013-11-18,0.08820023837902265
2013-11-19,0.08859753675009932
2013-11-20,0.08899483512117601
2013-11-21,0.08939213349225268
2013-11-22,0.08978943186332936
2013-11-25,0.09018673023440604
2013-11-26,0.09058402860548272
2013-11-27,0.09098132697655939
2013-11-29,0.09137862534763608
2013-12-02,0.09177592371871275
2013-12-03,0.09217322208978942
2013-12-04,0.09257052046086611
2013-12-05,0.09296781883194279
2013-12-06,0.09336511720301947
2013-12-09,0.09376241557409615
2013-12-10,0.09415971394517282
2013-12-11,0.09455701231624951
2013-12-12,0.09495431068732618
2013-12-13,0.09535160905840286
2013-12-16,0.09574890742947954
2013-12-17,0.09614620580055622
2013-12-18,0.09654350417163289
2013-12-19,0.09694080254270958
2013-12-20,0.09733810091378625
2013-12-23,0.09773539928486293
2013-12-24,0.09813269765593961
2013-12-26,0.09852999602701629
2013-12-27,0.09892729439809297
2013-12-30,0.09932459276916965
2013-12-31,0.09972189114024632
2014-01-02,0.10011918951132301
2014-01-03,0.10051648788239968
2014-01-06,0.10091378625347636
2014-01-07,0.10131108462455304
2014-01-08,0.10170838299562972
2014-01-09,0.10210568136670639
2014-01-10,0.10250297973778308
2014-01-13,0.10290027810885975
2014-01-14,0.10329757647993643
2014-01-15,0.10369487485101311
2014-01-16,0.10409217322208979
2014-01-17,0.10448947159316647
2014-01-21,0.10488676996424315
2014-01-22,0.10528406833531982
2014-01-23,0.10568136670639651
2014-01-24,0.10607866507747318
2014-01-27,0.10647596344854986
2014-01-28,0.10687326181962654
2014-01-29,0.10727056019070322
2014-01-30,0.10766785856177989
2014-01-31,0.10806515693285658
2014-02-03,0.10846245530393325
2014-02-04,0.10885975367500993
2014-02-05,0.10925705204608661
2014-02-06,0.10965435041716329
2014-02-07,0.11005164878823996
2014-02-10,0.11044894715931665
2014-02-11,0.11084624553039332
2014-02-12,0.11124354390147001
2014-02-13,0.11164084227254668
2014-02-14,0.11203814064362336
2014-02-18,0.11243543901470004
2014-02-19,0.11283273738577672
2014-02-20,0.11323003575685339
2014-02-21,0.11362733412793008
2014-02-24,0.11402463249900675
2014-02-25,0.11442193087008343
2014-02-26,0.11481922924116011
2014-02-27,0.11521652761223679
2014-02-28,0.11561382598331346
2014-03-03,0.11601112435439015
2014-03-04,0.11640842272546682
2014-03-05,0.11680572109654351
2014-03-06,0.11720301946762018
2014-03-07,0.11760031783869686
2014-03-10,0.11799761620977355
2014-03-11,0.11839491458085022
2014-03-12,0.11879221295192689
2014-03-13,0.11918951132300358
2014-03-14,0.11958680969408025
2014-03-17,0.11998410806515693
2014-03-18,0.12038140643623362
2014-03-19,0.12077870480731029
2014-03-20,0.12117600317838696
2014-03-21,0.12157330154946365
2014-03-24,0.12197059992054032
2014-03-25,0.12236789829161701
2014-03-26,0.12276519666269368
2014-03-27,0.12316249503377036
2014-03-28,0.12355979340484705
2014-03-31,0.12395709177592372
2014-04-01,0.1243543901470004
2014-04-02,0.12475168851807708
2014-04-03,0.12514898688915377
2014-04-04,0.12554628526023043
2014-04-07,0.12594358363130712
2014-04-08,0.1263408820023838
2014-04-09,0.12673818037346046
2014-04-10,0.12713547874453715
2014-04-11,0.12753277711561384
2014-04-14,0.1279300754866905
2014-04-15,0.12832737385776719
2014-04-16,0.12872467222884387
2014-04-17,0.12912197059992053
2014-04-21,0.12951926897099722
2014-04-22,0.1299165673420739
2014-04-23,0.13031386571315057
2014-04-24,0.13071116408422725
2014-04-25,0.13110846245530394
2014-04-28,0.1315057608263806
2014-04-29,0.1319030591974573
2014-04-30,0.13230035756853398
2014-05-01,0.13269765593961064
2014-05-02,0.13309495431068732
2014-05-05,0.133492252681764
2014-05-06,0.13388955105284067
2014-05-07,0.13428684942391736
2014-05-08,0.13468414779499405
2014-05-09,0.1350814461660707
2014-05-12,0.1354787445371474
2014-05-13,0.13587604290822408
2014-05-14,0.13627334127930074
2014-05-15,0.13667063965037743
2014-05-16,0.13706793802145412
2014-05-19,0.1374652363925308
2014-05-20,0.13786253476360746
2014-05-21,0.13825983313468415
2014-05-22,0.13865713150576084
2014-05-23,0.1390544298768375
2014-05-27,0.1394517282479142
2014-05-28,0.13984902661899087
2014-05-29,0.14024632499006753
2014-05-30,0.14064362336114422
2014-06-02,0.1410409217322209
2014-06-03,0.14143822010329757
2014-06-04,0.14183551847437426
2014-06-05,0.14223281684545094
2014-06-06,0.1426301152165276
2014-06-09,0.1430274135876043
2014-06-10,0.14342471195868098
2014-06-11,0.14382201032975764
2014-06-12,0.14421930870083433
2014-06-13,0.144616607071911
2014-06-16,0.14501390544298767
2014-06-17,0.14541120381406436
2014-06-18,0.14580850218514105
2014-06-19,0.1462058005562177
2014-06-20,0.1466030989272944
2014-06-23,0.14700039729837108
2014-06-24,0.14739769566944774
2014-06-25,0.14779499404052443
2014-06-26,0.14819229241160112
2014-06-27,0.14858959078267778
2014-06-30,0.14898688915375446
2014-07-01,0.14938418752483115
2014-07-02,0.14978148589590784
2014-07-03,0.1501787842669845
2014-07-07,0.1505760826380612
2014-07-08,0.15097338100913787
2014-07-09,0.15137067938021453
2014-07-10,0.15176797775129122
2014-07-11,0.1521652761223679
2014-07-14,0.15256257449344457
2014-07-15,0.15295987286452126
2014-07-16,0.15335717123559794
2014-07-17,0.1537544696066746
2014-07-18,0.1541517679777513
2014-07-21,0.15454906634882798
2014-07-22,0.15494636471990464
2014-07-23,0.15534366309098133
2014-07-24,0.15574096146205801
2014-07-25,0.15613825983313467
2014-07-28,0.15653555820421136
2014-07-29,0.15693285657528805
2014-07-30,0.1573301549463647
2014-07-31,0.1577274533174414
2014-08-01,0.15812475168851808
2014-08-04,0.15852205005959474
2014-08-05,0.15891934843067143
2014-08-06,0.15931664680174812
2014-08-07,0.15971394517282478
2014-08-08,0.16011124354390147
2014-08-11,0.16050854191497815
2014-08-12,0.16090584028605484
2014-08-13,0.1613031386571315
2014-08-14,0.1617004370282082
2014-08-15,0.16209773539928488
2014-08-18,0.16249503377036154
2014-08-19,0.16289233214143822
2014-08-20,0.1632896305125149
2014-08-21,0.16368692888359157
2014-08-22,0.16408422725466826
2014-08-25,0.16448152562574495
2014-08-26,0.1648788239968216
2014-08-27,0.1652761223678983
2014-08-28,0.16567342073897498
2014-08-29,0.16607071911005164
2014-09-02,0.16646801748112833
2014-09-03,0.16686531585220502
2014-09-04,0.16726261422328167
2014-09-05,0.16765991259435836
2014-09-08,0.16805721096543505
2014-09-09,0.1684545093365117
2014-09-10,0.1688518077075884
2014-09-11,0.16924910607866508
2014-09-12,0.16964640444974174
2014-09-15,0.17004370282081843
2014-09-16,0.17044100119189512
2014-09-17,0.17083829956297178
2014-09-18,0.17123559793404847
2014-09-19,0.17163289630512515
2014-09-22,0.17203019467620181
2014-09-23,0.1724274930472785
2014-09-24,0.1728247914183552
2014-09-25,0.17322208978943188
2014-09-26,0.17361938816050854
2014-09-29,0.17401668653158522
2014-09-30,0.1744139849026619
2014-10-01,0.17481128327373857
2014-10-02,0.17520858164481526
2014-10-03,0.17560588001589195
2014-10-06,0.1760031783869686
2014-10-07,0.1764004767580453
2014-10-08,0.17679777512912198
2014-10-09,0.17719507350019864
2014-10-10,0.17759237187127533
2014-10-13,0.17798967024235202
2014-10-14,0.17838696861342868
2014-10-15,0.17878426698450536
2014-10-16,0.17918156535558205
2014-10-17,0.1795788637266587
2014-10-20,0.1799761620977354
2014-10-21,0.18037346046881209
2014-10-22,0.18077075883988875
2014-10-23,0.18116805721096543
2014-10-24,0.18156535558204212
2014-10-27,0.18196265395311878
2014-10-28,0.18235995232419547
2014-10-29,0.18275725069527216
2014-10-30,0.18315454906634882
2014-10-31,0.1835518474374255
2014-11-03,0.1839491458085022
2014-11-04,0.18434644417957885
2014-11-05,0.18474374255065554
2014-11-06,0.18514104092173223
2014-11-07,0.1855383392928089
2014-11-10,0.18593563766388557
2014-11-11,0.18633293603496226
2014-11-12,0.18673023440603895
2014-11-13,0.1871275327771156
2014-11-14,0.1875248311481923
2014-11-17,0.18792212951926898
2014-11-18,0.18831942789034564
2014-11-19,0.18871672626142233
2014-11-20,0.18911402463249902
2014-11-21,0.18951132300357568
2014-11-24,0.18990862137465236
2014-11-25,0.19030591974572905
2014-11-26,0.1907032181168057
2014-11-28,0.1911005164878824
2014-12-01,0.1914978148589591
2014-12-02,0.19189511323003575
2014-12-03,0.19229241160111243
2014-12-04,0.19268970997218912
2014-12-05,0.19308700834326578
2014-12-08,0.19348430671434247
2014-12-09,0.19388160508541916
2014-12-10,0.19427890345649582
2014-12-11,0.1946762018275725
2014-12-12,0.1950735001986492
2014-12-15,0.19547079856972585
2014-12-16,0.19586809694080254
2014-12-17,0.19626539531187923
2014-12-18,0.1966626936829559
2014-12-19,0.19705999205403257
2014-12-22,0.19745729042510926
2014-12-23,0.19785458879618595
2014-12-24,0.1982518871672626
2014-12-26,0.1986491855383393
2014-12-29,0.19904648390941598
2014-12-30,0.19944378228049264
2014-12-31,0.19984108065156933
2015-01-02,0.20023837902264602
2015-01-05,0.20063567739372268
2015-01-06,0.20103297576479937
2015-01-07,0.20143027413587605
2015-01-08,0.2018275725069527
2015-01-09,0.2022248708780294
2015-01-12,0.2026221692491061
2015-01-13,0.20301946762018275
2015-01-14,0.20341676599125944
2015-01-15,0.20381406436233612
2015-01-16,0.20421136273341278
2015-01-20,0.20460866110448947
2015-01-21,0.20500595947556616
2015-01-22,0.20540325784664282
2015-01-23,0.2058005562177195
2015-01-26,0.2061978545887962
2015-01-27,0.20659515295987285
2015-01-28,0.20699245133094954
2015-01-29,0.20738974970202623
